category_id,product_number,product_name,product_image,base_price,base_mrp,weight,unit,description,barcode,min_ord_qty,max_ord_qty,quantity
,1,زيت شمس,images/products/,18.813,18.813,,,,,1,100,
,2,زيت صباح,images/products/,18.813,18.813,,,,,1,100,
,3,زيت الطيب,images/products/,18.813,18.813,,,,,1,100,
,4,زيت نعمة,images/products/,12.363,12.363,,,,,1,100,
,5,زيت الانصاري,images/products/,12.363,12.363,,,,,1,100,
,6,لبن مياسم,images/products/,22.575,22.575,,,,,1,100,
,7,لبن نستو,images/products/,16.233,16.233,,,,,1,100,
,8,لبن المروحة,images/products/,15.588,15.588,,,,,1,100,
,9,لبن الصحابة,images/products/,20.425,20.425,,,,,1,100,
,10,لبن كابو,images/products/,36.55,36.55,,,,,1,100,
,11,لبن يومي,images/products/,9.138,9.138,,,,,1,100,
,12,لبن لابي,images/products/,27.95,27.95,,,,,1,100,
,13,لبن البقرتين,images/products/,9.138,9.138,,,,,1,100,
,14,لبن الصدارة,images/products/,10.75,10.75,,,,,1,100,
,15,صابون اصيل,images/products/,2.064,2.064,,,,,1,100,
,16,صابون لايفوي,images/products/,17.2,17.2,,,,,1,100,
,17,صابون توب,images/products/,2.064,2.064,,,,,1,100,
,18,معجون اسنان سيجنال,images/products/,23.65,23.65,,,,,1,100,
,19,صلصة مياسم,images/products/,5.913,5.913,,,,,1,100,
,20,صلصة الفرشة,images/products/,8.063,8.063,,,,,1,100,
,21,صلصة ام علي,images/products/,4.3,4.3,,,,,1,100,
,22,شعيرة نوبو250جرام,images/products/,5.59,5.59,,,,,1,100,
,23,سكسكانية نوبو250جرام,images/products/,5.59,5.59,,,,,1,100,
,24,رز مصري فاخر,images/products/,13.975,13.975,,,,,1,100,
,25, كاتشب مياسم,images/products/,6.128,6.128,,,,,1,100,
,26,جنزبيل,images/products/,8.6,8.6,,,,,1,100,
,27,ثوم حبشي,images/products/,10.75,10.75,,,,,1,100,
,28,قرفة,images/products/,11.288,11.288,,,,,1,100,
,29,قرنجال,images/products/,20.425,20.425,,,,,1,100,
,30,كسبرة,images/products/,77.4,77.4,,,,,1,100,
,31,فلفل,images/products/,172,172,,,,,1,100,
,32,عدس ارمادا,images/products/,13.975,13.975,,,,,1,100,
,33,لبن الوادي200جرام,images/products/,13.975,13.975,,,,,1,100,
,34,لبن كابو 200جرام,images/products/,13.975,13.975,,,,,1,100,
,35,لبن كابو100جرام,images/products/,37088,37088,,,,,1,100,
,36,لبن كابو225جرام,images/products/,36550,36550,,,,,1,100,
,37,لبن مياسم2.5كيلو,images/products/,23113,23113,,,,,1,100,
,38,لبن لابي 2.5كيلو,images/products/,27950,27950,,,,,1,100,
,39,معجون سيجنال صغير,images/products/,27950,27950,,,,,1,100,
,40,معجون سيجنال وسط,images/products/,23650,23650,,,,,1,100,
,41,معجون اسنان كبير,images/products/,34400,34400,,,,,1,100,
