cat_id,product_name,product_image,initial_quantity,unit,base_mrp,base_price,description,ean,tags
,زيت شمس,,,,,18.813,,,
,زيت صباح,,,,,18.813,,,
,زيت الطيب,,,,,18.813,,,
,زيت نعمة,,,,,12.363,,,
,زيت الانصاري,,,,,12.363,,,
,لبن مياسم,,,,,22.575,,,
,لبن نستو,,,,,16.233,,,
,لبن المروحة,,,,,15.588,,,
,لبن الصحابة,,,,,20.425,,,
,لبن كابو,,,,,36.55,,,
,لبن يومي,,,,,9.138,,,
,لبن لابي,,,,,27.95,,,
,لبن البقرتين,,,,,9.138,,,
,لبن الصدارة,,,,,10.75,,,
,صابون اصيل,,,,,2.064,,,
,صابون لايفوي,,,,,17.2,,,
,صابون توب,,,,,2.064,,,
,معجون اسنان سيجنال,,,,,23.65,,,
,صلصة مياسم,,,,,5.913,,,
,صلصة الفرشة,,,,,8.063,,,
,صلصة ام علي,,,,,4.3,,,
,شعيرة نوبو250جرام,,,,,5.59,,,
,سكسكانية نوبو250جرام,,,,,5.59,,,
,رز مصري فاخر,,,,,13.975,,,
, كاتشب مياسم,,,,,6.128,,,
,جنزبيل,,,,,8.6,,,
,ثوم حبشي,,,,,10.75,,,
,قرفة,,,,,11.288,,,
,قرنجال,,,,,20.425,,,
,كسبرة,,,,,77.4,,,
,فلفل,,,,,172,,,
,عدس ارمادا,,,,,13.975,,,
,لبن الوادي200جرام,,,,,13.975,,,
,لبن كابو 200جرام,,,,,13.975,,,
,لبن كابو100جرام,,,,,37088,,,
,لبن كابو225جرام,,,,,36550,,,
,لبن مياسم2.5كيلو,,,,,23113,,,
,لبن لابي 2.5كيلو,,,,,27950,,,
,معجون سيجنال صغير,,,,,27950,,,
,معجون سيجنال وسط,,,,,23650,,,
,معجون اسنان كبير,,,,,34400,,,
,معجون ابو وردة,,,,,6988,,,
,صابون بدرة 5كيلو,,,,,3548,,,
,صابون بشرى صغير,,,,,8385,,,
,صابون بشرى وسط,,,,,11825,,,
,صابون بشرى جامبو,,,,,11825,,,
,صابون بشرى جردل,,,,,8600,,,
,صابون غسيل 100جرام,,,,,2580,,,
,صابون غسيل 120جرام,,,,,3010,,,
,صابون غسيل 180جرام,,,,,4300,,,
,زيت فول مهيرة 36رطل,,,,,23435,,,
,زيت فول مهيرة 18رطل,,,,,12363,,,
,زيت فول مهير9رطل,,,,,6235,,,
,زيت فول مهيرة4.5رطل,,,,,3225,,,
,زيت شمس 1 لتر,,,,,18813,,,
,زيت صباح 1 لتر,,,,,18813,,,
,زيت الطيب 1 لتر,,,,,18813,,,
,زيت شمس 4 لتر,,,,,24188,,,
,زيت نعمة 4 لتر,,,,,23113,,,
,زيت نعمة 1 لتر,,,,,17200,,,
,صلصة الفراشة علب,,,,,9138,,,
,صلصة مياسم علب,,,,,6988,,,
,مكرونة,,,,,5698,,,
,شعيرية,,,,,5698,,,
,بسكويت ماجد,,,,,3064,,,
,زيت سمسم 36رطل,,,,,38700,,,
,زيت سمسم 18رطل,,,,,19350,,,
,جرسلين,,,,,11288,,,
,ساردين,,,,,20425,,,
,تونا,,,,,18275,,,
,زيت تحمير36 رطل,,,,,22575,,,
,زيت تحمير 18رطل,,,,,11825,,,
,صابون حمام كامي,,,,,10750,,,
,صابون حمام توب,,,,,12900,,,
,رز كبسة  20كيلو,,,,,8063,,,
,رز مصري فاخر 25كيلو ,,,,,13975,,,
,بامبرز فاين بيبي مقاس 1,,,,,18813,,,
,بامبرز فاين بيبي مقاس 2,,,,,18813,,,
,بامبرز فاين بيبي مقاس 3,,,,,18813,,,
,بامبرز فاين بيبي مقاس 4,,,,,18813,,,
,بامبرز فاين بيبي مقاس 5,,,,,18813,,,
